period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1270515,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1259603,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1254395,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1247730,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1259603,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1265033,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1264953,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1256253,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1248716,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1264953,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1273968,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,2629,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,1612,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,1006,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,2629,megawatthours
2026-01-23,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,3456,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1514295,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1500889,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1487934,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1514295,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1527657,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1450724,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1435202,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1423260,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1450724,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1467319,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1512447,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1500585,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1488804,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1512447,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1524390,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,-1851,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,-308,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,865,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,-1851,megawatthours
2026-01-24,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,-3268,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1699965,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1697181,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1694482,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1699965,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1703390,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1725328,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1717308,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1709675,megawatthours
